,asset_name,assets,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
230,Structures,8927295821987.31055,-0.21698,0.19515,0.11526,0.15776,0.34171,0.30566,corporate,0.59115,2023
230,Structures,8927295821987.31055,-0.20274,0.20501,0.12584,0.16788,0.34985,0.31407,corporate,0.56786,2024
230,Structures,8927295821987.31055,-0.18884,0.21464,0.13616,0.19328,0.35845,0.32578,corporate,0.54458,2025
230,Structures,8927295821987.31055,-0.17525,0.22403,0.14625,0.20336,0.36614,0.33383,corporate,0.52129,2026
230,Structures,8927295821987.31055,-0.17525,0.22403,0.14625,0.20440,0.36601,0.33392,corporate,0.52129,2027
230,Structures,8927295821987.31055,-0.17525,0.22403,0.14625,0.20530,0.36606,0.33414,corporate,0.52129,2028
230,Structures,8927295821987.31055,-0.17525,0.22403,0.14625,0.20647,0.36619,0.33446,corporate,0.52129,2029
231,Equipment,1610127359593.42920,-0.58828,0.00000,-0.11343,0.08794,0.00000,0.01696,non-corporate,1.00000,2020
231,Equipment,1610127359593.42920,-0.57950,0.00000,-0.11214,0.09314,0.00000,0.01802,non-corporate,1.00000,2021
231,Equipment,1610127359593.42920,-0.50557,0.04275,-0.06389,0.13641,0.04275,0.06078,non-corporate,0.96916,2022
231,Equipment,1610127359593.42920,-0.43682,0.08222,-0.01923,0.17749,0.08222,0.10050,non-corporate,0.93832,2023
231,Equipment,1610127359593.42920,-0.37367,0.11874,0.02201,0.21401,0.11874,0.13698,non-corporate,0.90750,2024
231,Equipment,1610127359593.42920,-0.38016,0.17814,0.07446,0.23216,0.17814,0.18738,non-corporate,0.87786,2025
231,Equipment,1610127359593.42920,-0.31334,0.21347,0.11502,0.27060,0.21347,0.22323,non-corporate,0.84734,2026
231,Equipment,1610127359593.42920,-0.31368,0.21365,0.11516,0.27191,0.21365,0.22361,non-corporate,0.84733,2027
231,Equipment,1610127359593.42920,-0.31390,0.21378,0.11524,0.27309,0.21378,0.22393,non-corporate,0.84734,2028
231,Equipment,1610127359593.42920,-0.31415,0.21392,0.11532,0.27467,0.21392,0.22434,non-corporate,0.84736,2029
215,Intellectual Property,387169616704.21753,-1.04327,-0.16583,-0.32198,-0.17334,-0.16583,-0.16716,non-corporate,1.00000,2020
215,Intellectual Property,387169616704.21753,-0.58323,0.04280,-0.07446,0.09100,0.04280,0.05130,non-corporate,0.89971,2021
215,Intellectual Property,387169616704.21753,-0.55914,0.05823,-0.05733,0.10569,0.05823,0.06657,non-corporate,0.88842,2022
215,Intellectual Property,387169616704.21753,-0.53473,0.07301,-0.04073,0.12144,0.07301,0.08153,non-corporate,0.87710,2023
215,Intellectual Property,387169616704.21753,-0.51083,0.08733,-0.02465,0.13553,0.08733,0.09581,non-corporate,0.86580,2024
215,Intellectual Property,387169616704.21753,-0.56805,0.13582,0.01329,0.12763,0.13582,0.13368,non-corporate,0.85604,2025
215,Intellectual Property,387169616704.21753,-0.53976,0.15074,0.03043,0.14485,0.15074,0.14899,non-corporate,0.84489,2026
215,Intellectual Property,387169616704.21753,-0.54027,0.15097,0.03062,0.14633,0.15097,0.14944,non-corporate,0.84488,2027
215,Intellectual Property,387169616704.21753,-0.54060,0.15112,0.03071,0.14768,0.15112,0.14979,non-corporate,0.84489,2028
215,Intellectual Property,387169616704.21753,-0.54096,0.15128,0.03080,0.14948,0.15128,0.15023,non-corporate,0.84492,2029
163,Inventories,903249577643.12000,-0.07879,0.29145,0.21767,0.38051,0.29145,0.30929,non-corporate,0.00000,2020
163,Inventories,903249577643.12000,-0.07297,0.29167,0.21878,0.38396,0.29167,0.31021,non-corporate,0.00000,2021
163,Inventories,903249577643.12000,-0.07336,0.29271,0.21964,0.38433,0.29271,0.31109,non-corporate,0.00000,2022
163,Inventories,903249577643.12000,-0.07359,0.29333,0.22017,0.38542,0.29333,0.31178,non-corporate,0.00000,2023
163,Inventories,903249577643.12000,-0.07380,0.29389,0.22063,0.38559,0.29389,0.31225,non-corporate,0.00000,2024
163,Inventories,903249577643.12000,-0.09015,0.33414,0.25444,0.39350,0.33414,0.34541,non-corporate,0.00000,2025
163,Inventories,903249577643.12000,-0.09032,0.33453,0.25477,0.39446,0.33453,0.34589,non-corporate,0.00000,2026
